Seq,Task ID,Title,Category,Screen,Route,Page Entry,Depends On,Requirement Refs,Detail File,Detail File Exists,Wave ID
9,COMP-SCR001-THEME-CHIPS,여행 동기·테마 Chip 6개,COMPONENT,SCR-001,/,,,REQ-FUNC-DEST-002;REQ-FUNC-DEST-004,TASK-COMP-SCR001-THEME-CHIPS.md,TRUE,W07
10,COMP-SCR001-SAFETY-CARDS,국가별 주의사항 카드 6개,COMPONENT,SCR-001,/,,DATA-SAFETY,REQ-FUNC-SAFETY-004;REQ-FUNC-SAFETY-005,TASK-COMP-SCR001-SAFETY-CARDS.md,TRUE,W07
11,COMP-SCR001-DEST-DRAWER,여행지 상세 Drawer + 안전정보 패널,COMPONENT,SCR-001,/,,DATA-DESTINATIONS;DATA-SAFETY,REQ-FUNC-DEST-003;REQ-FUNC-DEST-005;REQ-FUNC-SAFETY-001;REQ-FUNC-SAFETY-002;REQ-FUNC-SAFETY-003;REQ-NFR-CONTENT-002;REQ-NFR-CONTENT-005;REQ-NFR-SEC-002;REQ-NFR-ACC-002,TASK-COMP-SCR001-DEST-DRAWER.md,TRUE,W06
12,COMP-SCR001-MATE-SUMMARY,최근 동행글 요약 3개 또는 Empty State,COMPONENT,SCR-001,/,,API-MATE-POSTS,REQ-FUNC-MATE-002,TASK-COMP-SCR001-MATE-SUMMARY.md,TRUE,W07
13,COMP-SCR001-ABOUT-SUMMARY,free_traveler 요약(좌우 분할+CTA),COMPONENT,SCR-001,/,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-001,TASK-COMP-SCR001-ABOUT-SUMMARY.md,TRUE,W06
14,COMP-SCR002-PROFILE-HERO,대표 Hero,COMPONENT,SCR-002,/about,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-001,TASK-COMP-SCR002-PROFILE-HERO.md,TRUE,W09
15,COMP-SCR002-METRICS,여행 지표 숫자 카드 2개,COMPONENT,SCR-002,/about,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-001,TASK-COMP-SCR002-METRICS.md,TRUE,W09
16,COMP-SCR002-PHILOSOPHY,소개·철학 좌우 분할,COMPONENT,SCR-002,/about,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-001,TASK-COMP-SCR002-PHILOSOPHY.md,TRUE,W09
17,COMP-SCR002-TIMELINE,여행 Timeline 6개 이상,COMPONENT,SCR-002,/about,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-001,TASK-COMP-SCR002-TIMELINE.md,TRUE,W09
18,COMP-SCR002-COUNTRY-CHIPS,"방문 국가 Chip(30개국, 4권역)",COMPONENT,SCR-002,/about,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-003,TASK-COMP-SCR002-COUNTRY-CHIPS.md,TRUE,W09
19,COMP-SCR002-GALLERY,여행 사진 Gallery 8장 이상,COMPONENT,SCR-002,/about,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-002,TASK-COMP-SCR002-GALLERY.md,TRUE,W09
20,COMP-SCR002-MEMORABLE-CTA,기억에 남는 여행지 4개 + CTA Banner,COMPONENT,SCR-002,/about,,DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-003,TASK-COMP-SCR002-MEMORABLE-CTA.md,TRUE,W09
21,COMP-SCR003-INTRO-TABS,Intro 3단계 안내 + 탭 네비게이션,COMPONENT,SCR-003,/travel-tools,,,,TASK-COMP-SCR003-INTRO-TABS.md,TRUE,W11
22,COMP-SCR003-FLIGHT-FORM,항공 조건 입력·검증·요약·외부이동,COMPONENT,SCR-003,/travel-tools,,API-EXTERNAL-URLS,REQ-FUNC-FLIGHT-001;REQ-FUNC-FLIGHT-002;REQ-FUNC-FLIGHT-003;REQ-FUNC-FLIGHT-004;REQ-FUNC-FLIGHT-005;REQ-FUNC-FLIGHT-006;REQ-NFR-SEC-002;REQ-NFR-SEC-003;REQ-NFR-ACC-005,TASK-COMP-SCR003-FLIGHT-FORM.md,TRUE,W11
23,COMP-SCR003-HOTEL-FORM,숙소 조건 입력·검증·요약·외부이동,COMPONENT,SCR-003,/travel-tools,,API-EXTERNAL-URLS,REQ-FUNC-HOTEL-001;REQ-FUNC-HOTEL-002;REQ-FUNC-HOTEL-003;REQ-FUNC-HOTEL-004;REQ-FUNC-HOTEL-005;REQ-FUNC-HOTEL-006;REQ-FUNC-HOTEL-007;REQ-NFR-SEC-002;REQ-NFR-SEC-003;REQ-NFR-ACC-005,TASK-COMP-SCR003-HOTEL-FORM.md,TRUE,W11
24,COMP-SCR003-TIPS,찾기 Tip 카드 3개,COMPONENT,SCR-003,/travel-tools,,,REQ-FUNC-FLIGHT-003;REQ-FUNC-HOTEL-003,TASK-COMP-SCR003-TIPS.md,TRUE,W11
25,COMP-SCR003-MATE-COMPOSE,동행 작성 Form(연락처 탐지+안전수칙),COMPONENT,SCR-003,/travel-tools,,API-MATE-POSTS;AUTH-ADULT-VERIFICATION,REQ-FUNC-MATE-003;REQ-FUNC-MATE-009;REQ-NFR-PRIV-005;REQ-NFR-PRIV-006;REQ-NFR-SEC-008,TASK-COMP-SCR003-MATE-COMPOSE.md,TRUE,W11
26,COMP-SCR003-LOGIN-GUARD,로그인 유도 카드 + 안전 안내 패널,COMPONENT,SCR-003,/travel-tools,,AUTH-SUPABASE-CLIENT,REQ-FUNC-MATE-001,TASK-COMP-SCR003-LOGIN-GUARD.md,TRUE,W11
27,COMP-SCR004-INTRO-CTA,Intro CTA Banner,COMPONENT,SCR-004,/mates,,,,TASK-COMP-SCR004-INTRO-CTA.md,TRUE,W14
28,COMP-SCR004-FILTER,검색 Filter + 결과 요약,COMPONENT,SCR-004,/mates,,API-MATE-POSTS,REQ-FUNC-MATE-002,TASK-COMP-SCR004-FILTER.md,TRUE,W13
29,COMP-SCR004-LIST,동행 목록 카드(최대 8개),COMPONENT,SCR-004,/mates,,API-MATE-POSTS,REQ-FUNC-MATE-002;REQ-FUNC-MATE-008,TASK-COMP-SCR004-LIST.md,TRUE,W14
30,COMP-SCR004-DETAIL,상세 패널(Desktop 분할)/Drawer(Mobile),COMPONENT,SCR-004,/mates,,API-MATE-POSTS,REQ-FUNC-MATE-002;REQ-FUNC-MATE-008,TASK-COMP-SCR004-DETAIL.md,TRUE,W13
31,COMP-SCR004-JOIN-REQUEST,참가 요청 UI(중복 방지),COMPONENT,SCR-004,/mates,,API-MATE-APPLICATIONS,REQ-FUNC-MATE-004;REQ-FUNC-MATE-005,TASK-COMP-SCR004-JOIN-REQUEST.md,TRUE,W14
32,COMP-SCR004-REPORT,신고 UI(접수번호 표시),COMPONENT,SCR-004,/mates,,API-REPORTS,REQ-FUNC-MATE-006,TASK-COMP-SCR004-REPORT.md,TRUE,W14
33,COMP-SCR004-BLOCK,차단 UI,COMPONENT,SCR-004,/mates,,API-BLOCKS,REQ-FUNC-MATE-007;REQ-NFR-PRIV-004,TASK-COMP-SCR004-BLOCK.md,TRUE,W13
34,COMP-SCR004-GUIDE-SAFETY,참가 방법 3단계 + 안전 안내 CTA,COMPONENT,SCR-004,/mates,,,,TASK-COMP-SCR004-GUIDE-SAFETY.md,TRUE,W13
35,COMP-SCR005-AUTH,로그인/회원가입/재설정 + 성인확인,COMPONENT,SCR-005,/account,,AUTH-SUPABASE-CLIENT;AUTH-ADULT-VERIFICATION,REQ-FUNC-MATE-001;REQ-NFR-PRIV-001;REQ-NFR-PRIV-002;REQ-NFR-PRIV-005,TASK-COMP-SCR005-AUTH.md,TRUE,W16
36,COMP-SCR005-PROFILE,프로필 요약 + 수정 Form,COMPONENT,SCR-005,/account,,AUTH-SUPABASE-CLIENT;DB-ACCESS,,TASK-COMP-SCR005-PROFILE.md,TRUE,W16
37,COMP-SCR005-MY-ACTIVITY,내 활동(글/참가요청/차단+CTA),COMPONENT,SCR-005,/account,,API-MATE-POSTS;API-MATE-APPLICATIONS;API-BLOCKS,REQ-FUNC-MATE-005;REQ-FUNC-MATE-007,TASK-COMP-SCR005-MY-ACTIVITY.md,TRUE,W16
38,COMP-SCR005-ADMIN,신고 처리 + 외부 URL 설정,COMPONENT,SCR-005,/account,,API-REPORTS;API-EXTERNAL-URLS,REQ-FUNC-ADMIN-003;REQ-NFR-SEC-004;REQ-NFR-PRIV-003,TASK-COMP-SCR005-ADMIN.md,TRUE,W16
39,DATA-DESTINATIONS,여행지 정적 데이터,DATA,SCR-001,,,,REQ-FUNC-DEST-001;REQ-FUNC-DEST-002;REQ-FUNC-DEST-003;REQ-FUNC-DEST-004;REQ-FUNC-DEST-005;REQ-NFR-AVAIL-003,TASK-DATA-DESTINATIONS.md,TRUE,W01
40,DATA-SAFETY,국가별 안전정보 정적 데이터,DATA,SCR-001,,,,REQ-FUNC-SAFETY-001;REQ-FUNC-SAFETY-002;REQ-FUNC-SAFETY-003;REQ-FUNC-SAFETY-004;REQ-FUNC-SAFETY-005;REQ-FUNC-DEST-005;REQ-NFR-AVAIL-003,TASK-DATA-SAFETY.md,TRUE,W01
41,DATA-REPRESENTATIVE,대표 소개 정적 데이터,DATA,SCR-002,,,,REQ-FUNC-ABOUT-001;REQ-FUNC-ABOUT-002;REQ-FUNC-ABOUT-003;REQ-NFR-AVAIL-003,TASK-DATA-REPRESENTATIVE.md,TRUE,W01
42,DB-SCHEMA-BASE,Supabase 스키마 정의(6개 테이블),DB,,,,,REQ-FUNC-MATE-003;REQ-FUNC-MATE-004;REQ-FUNC-MATE-005;REQ-FUNC-MATE-006;REQ-FUNC-MATE-007;REQ-NFR-PRIV-001;REQ-NFR-PRIV-002;REQ-NFR-PRIV-003;REQ-NFR-SEC-004,TASK-DB-SCHEMA-BASE.md,TRUE,W02
43,DB-RLS-BASE,RLS 정책 정의,DB,,,,DB-SCHEMA-BASE,REQ-NFR-PRIV-003;REQ-NFR-PRIV-004,TASK-DB-RLS-BASE.md,TRUE,W03
44,DB-ACCESS,DB 접근 계층(클라이언트/서버),DB,,,,DB-SCHEMA-BASE;DB-RLS-BASE,REQ-FUNC-MATE-002;REQ-FUNC-MATE-004;REQ-FUNC-MATE-005;REQ-FUNC-MATE-006;REQ-FUNC-MATE-007;REQ-FUNC-MATE-008;REQ-NFR-AVAIL-003,TASK-DB-ACCESS.md,TRUE,W04
45,DB-SEED-BASE,개발/테스트 시드 데이터,DB,,,,DB-SCHEMA-BASE,,TASK-DB-SEED-BASE.md,TRUE,W03
46,AUTH-SUPABASE-CLIENT,Supabase Auth 이메일 로그인/가입 + 콜백,AUTH,,,src/app/auth/callback/route.ts,DB-SCHEMA-BASE,REQ-FUNC-MATE-001;REQ-NFR-PRIV-001;REQ-NFR-SEC-001,TASK-AUTH-SUPABASE-CLIENT.md,TRUE,W03
47,AUTH-ADULT-VERIFICATION,성인 확인 로직,AUTH,,,,AUTH-SUPABASE-CLIENT;DB-SCHEMA-BASE,REQ-FUNC-MATE-001;REQ-NFR-PRIV-002,TASK-AUTH-ADULT-VERIFICATION.md,TRUE,W04
48,API-MATE-POSTS,모집글 생성/조회 API,API,,,src/app/api/mates/route.ts,DB-ACCESS;AUTH-ADULT-VERIFICATION,REQ-FUNC-MATE-002;REQ-FUNC-MATE-003;REQ-FUNC-MATE-008;REQ-FUNC-MATE-009;REQ-NFR-PRIV-006,TASK-API-MATE-POSTS.md,TRUE,W05
49,API-MATE-APPLICATIONS,참가 요청 생성/승인/거절 API,API,,,src/app/api/mates/[id]/applications/route.ts,DB-ACCESS,REQ-FUNC-MATE-004;REQ-FUNC-MATE-005,TASK-API-MATE-APPLICATIONS.md,TRUE,W05
50,API-REPORTS,신고 생성/상태 변경 API,API,,,src/app/api/reports/route.ts,DB-ACCESS,REQ-FUNC-MATE-006;REQ-FUNC-ADMIN-003;REQ-NFR-PERF-004,TASK-API-REPORTS.md,TRUE,W05
51,API-BLOCKS,차단 생성/해제 API,API,,,src/app/api/blocks/route.ts,DB-ACCESS,REQ-FUNC-MATE-007;REQ-NFR-PRIV-004,TASK-API-BLOCKS.md,TRUE,W05
52,API-EXTERNAL-URLS,외부 URL 설정 저장/조회 API,API,,,src/app/api/admin/external-urls/route.ts,DB-ACCESS,REQ-NFR-SEC-004,TASK-API-EXTERNAL-URLS.md,TRUE,W05
53,UNIT-TRAVEL-DATES,날짜 검증 Unit Test,UNIT_TEST,SCR-003,,,COMP-SCR003-FLIGHT-FORM;COMP-SCR003-HOTEL-FORM,REQ-FUNC-FLIGHT-002;REQ-FUNC-HOTEL-002,TASK-UNIT-TRAVEL-DATES.md,TRUE,W19
54,UNIT-CONTACT-DETECTION,연락처 탐지 Unit Test,UNIT_TEST,SCR-003,,,COMP-SCR003-MATE-COMPOSE;API-MATE-POSTS,REQ-FUNC-MATE-009;REQ-NFR-PRIV-006,TASK-UNIT-CONTACT-DETECTION.md,TRUE,W19
55,UNIT-MATE-STATE,동행 상태 전이 Unit Test,UNIT_TEST,SCR-004,,,API-MATE-APPLICATIONS;COMP-SCR004-LIST,REQ-FUNC-MATE-004;REQ-FUNC-MATE-005;REQ-FUNC-MATE-008,TASK-UNIT-MATE-STATE.md,TRUE,W19
56,TEST-RLS-BASIC,RLS 기본 정책 Integration Test,INTEGRATION_TEST,SCR-004;SCR-005,,,DB-RLS-BASE;DB-SEED-BASE,REQ-NFR-PRIV-003;REQ-NFR-PRIV-004,TASK-TEST-RLS-BASIC.md,TRUE,W19
57,E2E-PUBLIC-SMOKE,공개 화면 Smoke(여행지·안전정보·대표소개),E2E_TEST,SCR-001;SCR-002,"/`, `/about",,PAGE-SCR001;PAGE-SCR002,REQ-FUNC-DEST-001;REQ-FUNC-DEST-002;REQ-FUNC-DEST-003;REQ-FUNC-DEST-004;REQ-FUNC-DEST-005;REQ-FUNC-SAFETY-001;REQ-FUNC-SAFETY-002;REQ-FUNC-SAFETY-003;REQ-FUNC-SAFETY-004;REQ-FUNC-SAFETY-005;REQ-FUNC-ABOUT-001;REQ-FUNC-ABOUT-002;REQ-FUNC-ABOUT-003;REQ-NFR-CONTENT-002;REQ-NFR-CONTENT-005;REQ-NFR-SEC-002,TASK-E2E-PUBLIC-SMOKE.md,TRUE,W18
58,E2E-TRAVEL-TOOLS,여행 준비 Smoke(항공·숙소·Tip),E2E_TEST,SCR-003,/travel-tools,,PAGE-SCR003;API-EXTERNAL-URLS,REQ-FUNC-FLIGHT-001;REQ-FUNC-FLIGHT-002;REQ-FUNC-FLIGHT-003;REQ-FUNC-FLIGHT-004;REQ-FUNC-FLIGHT-005;REQ-FUNC-FLIGHT-006;REQ-FUNC-HOTEL-001;REQ-FUNC-HOTEL-002;REQ-FUNC-HOTEL-003;REQ-FUNC-HOTEL-004;REQ-FUNC-HOTEL-005;REQ-FUNC-HOTEL-006;REQ-FUNC-HOTEL-007;REQ-NFR-SEC-002;REQ-NFR-SEC-003,TASK-E2E-TRAVEL-TOOLS.md,TRUE,W18
59,E2E-MATE-AUTH,동행·인증·관리자 Smoke,E2E_TEST,SCR-003;SCR-004;SCR-005,"/travel-tools`, `/mates`, `/account",,PAGE-SCR003;PAGE-SCR004;PAGE-SCR005,REQ-FUNC-MATE-001;REQ-FUNC-MATE-002;REQ-FUNC-MATE-003;REQ-FUNC-MATE-004;REQ-FUNC-MATE-005;REQ-FUNC-MATE-006;REQ-FUNC-MATE-007;REQ-FUNC-MATE-008;REQ-FUNC-MATE-009;REQ-FUNC-ADMIN-003;REQ-NFR-SEC-004;REQ-NFR-SEC-008;REQ-NFR-PRIV-001;REQ-NFR-PRIV-002;REQ-NFR-PRIV-003;REQ-NFR-PRIV-004;REQ-NFR-PRIV-005,TASK-E2E-MATE-AUTH.md,TRUE,W18
60,CI-PIPELINE-SETUP,CI 파이프라인(Lint·타입체크·Unit·RLS),CI_DEPLOY,,,,UNIT-TRAVEL-DATES;UNIT-CONTACT-DETECTION;UNIT-MATE-STATE;TEST-RLS-BASIC,REQ-NFR-SEC-003;REQ-NFR-ACC-003;REQ-NFR-ACC-006,TASK-CI-PIPELINE-SETUP.md,TRUE,W20
61,RELEASE-CHECK-VERCEL-SUPABASE,Vercel/Supabase 배포 확인,CI_DEPLOY,,,,PAGE-SCR001;PAGE-SCR002;PAGE-SCR003;PAGE-SCR004;PAGE-SCR005;DB-ACCESS;CI-PIPELINE-SETUP,REQ-NFR-SEC-001;REQ-NFR-AVAIL-003,TASK-RELEASE-CHECK-VERCEL-SUPABASE.md,TRUE,W21
62,CHECK-MANUAL-ACCESSIBILITY,접근성 수동 확인(브라우저),MANUAL_CHECK,SCR-001;SCR-002;SCR-003;SCR-004;SCR-005,,,PAGE-SCR001;PAGE-SCR002;PAGE-SCR003;PAGE-SCR004;PAGE-SCR005,REQ-NFR-ACC-001;REQ-NFR-ACC-002;REQ-NFR-ACC-003;REQ-NFR-ACC-004;REQ-NFR-ACC-005;REQ-NFR-ACC-006,TASK-CHECK-MANUAL-ACCESSIBILITY.md,TRUE,W18
63,CHECK-MANUAL-PERFORMANCE,성능 수동 확인(Lighthouse),MANUAL_CHECK,SCR-001;SCR-002;SCR-003;SCR-004;SCR-005,,,PAGE-SCR001;PAGE-SCR002;PAGE-SCR003;PAGE-SCR004;PAGE-SCR005,REQ-NFR-PERF-001;REQ-NFR-PERF-002;REQ-NFR-PERF-003;REQ-NFR-CONTENT-001,TASK-CHECK-MANUAL-PERFORMANCE.md,TRUE,W21
